id,name,flag
17,The Bahamas,🇧🇸
220,Togo,🇹🇬
221,Tokelau,🇹🇰
222,Tonga,🇹🇴
223,Trinidad And Tobago,🇹🇹
224,Tunisia,🇹🇳
225,Turkey,🇹🇷
226,Turkmenistan,🇹🇲
227,Turks And Caicos Islands,🇹🇨
228,Tuvalu,🇹🇻
229,Uganda,🇺🇬
230,Ukraine,🇺🇦
231,United Arab Emirates,🇦🇪
232,United Kingdom,🇬🇧
233,United States,🇺🇸
234,United States Minor Outlying Islands,🇺🇲
235,Uruguay,🇺🇾
236,Uzbekistan,🇺🇿
237,Vanuatu,🇻🇺
238,Vatican City State (Holy See),🇻🇦
239,Venezuela,🇻🇪
240,Vietnam,🇻🇳
241,Virgin Islands (British),🇻🇬
242,Virgin Islands (US),🇻🇮
243,Wallis And Futuna Islands,🇼🇫
244,Western Sahara,🇪🇭
245,Yemen,🇾🇪
246,Zambia,🇿🇲
247,Zimbabwe,🇿🇼
