"id","lesson_id","customer_id"
385,123,159
386,129,159
387,135,159
388,79,1765
389,80,1765
390,82,1765
391,79,1567
392,80,650
393,84,650
394,86,650
395,79,778
396,83,778
397,84,778
398,79,836
399,82,836
400,84,836
401,81,325
402,317,325
403,92,325
404,98,325
405,103,325
406,82,215
407,88,215
408,94,215
409,318,215
410,100,215
411,82,712
412,84,712
413,86,712
414,82,716
415,85,716
416,317,716
417,81,714
418,86,714
419,317,714
420,92,714
421,93,714
422,85,959
423,317,959
424,89,959
425,85,961
426,317,961
427,89,961
428,85,979
429,317,979
430,89,979
431,86,220
432,87,220
433,89,220
434,90,220
435,91,220
436,84,216
437,90,216
438,96,216
439,102,216
440,108,216
441,120,216
442,126,216
443,138,216
444,144,216
445,150,216
446,85,224
447,86,225
448,88,225
449,90,225
450,87,228
451,89,228
452,91,228
453,85,230
454,317,3
455,89,3
456,91,3
457,317,205
458,89,205
459,91,205
460,93,205
461,92,205
462,85,3019
463,86,3019
464,87,3019
465,88,4900
466,94,4900
467,100,4900
468,106,4900
469,112,4900
470,89,4870
471,95,4870
472,101,4870
473,107,4870
474,113,4870
475,90,4831
476,96,4831
477,102,4831
478,108,4831
479,114,4831
480,86,1837
481,87,1837
482,88,1837
483,86,1842
484,87,1842
485,88,1842
486,90,1842
487,91,1842
488,92,1842
489,88,2563
490,89,2563
491,90,2563
492,91,2563
493,92,2563
494,88,3019
495,90,3019
496,92,3019
497,91,169
498,97,169
499,103,169
500,109,169
501,115,169
502,89,364
503,95,364
504,101,364
505,107,364
